rep,storm_roc_auc,background_roc_auc,storm_pr_auc,background_pr_auc,storm_brier,background_brier,storm_log_loss,background_log_loss
101,0.5818181818181819,0.6286713286713287,0.12299216320238308,0.18472188023767816,0.11992889118617266,0.1486987956917343,0.4007727679467945,0.46052739216296074
102,0.5496503496503496,0.6286713286713287,0.11444620108167256,0.18472188023767816,0.12598319904158548,0.1486987956917343,0.4188024224212062,0.46052739216296074
103,0.5776223776223777,0.6286713286713287,0.12632653292540785,0.18472188023767816,0.1220372233148289,0.14869879569173422,0.4004904923483472,0.4605273921629607
104,0.4888111888111888,0.6286713286713287,0.1036642643962791,0.18472188023767816,0.12624913094615497,0.14869879569173422,0.41569760921727167,0.4605273921629607
105,0.5825174825174826,0.6286713286713287,0.13656893897816857,0.18472188023767816,0.12087399638871885,0.14869879569173422,0.40212439530849076,0.4605273921629607
106,0.6251748251748251,0.6286713286713287,0.1378080046230524,0.18472188023767816,0.1190323066956932,0.14869879569173422,0.39720817989016555,0.4605273921629607
107,0.4244755244755245,0.6286713286713287,0.0953822272095961,0.18472188023767816,0.14190465587442702,0.14869879569173422,0.4516163830254112,0.46052739216296074
108,0.5538461538461539,0.6286713286713287,0.127775515821516,0.18472188023767816,0.11998177894267748,0.14869879569173422,0.403114408828523,0.4605273921629607
109,0.5804195804195804,0.6286713286713287,0.12427111330282033,0.18472188023767816,0.11449750174002324,0.14869879569173422,0.38928182730512634,0.4605273921629607
110,0.413986013986014,0.6286713286713287,0.09309973081880264,0.18472188023767816,0.12826765395695353,0.14869879569173422,0.42686027412933447,0.4605273921629606
111,0.4783216783216783,0.6286713286713287,0.10224226951121954,0.18472188023767816,0.12487091977591058,0.14869879569173422,0.41655302629145075,0.46052739216296074
112,0.66993006993007,0.6286713286713287,0.15364009809290813,0.18472188023767816,0.10936579442789653,0.1486987956917343,0.37491399304142015,0.46052739216296074
113,0.46223776223776225,0.6286713286713287,0.09705136546630733,0.18472188023767816,0.12631654148425822,0.1486987956917343,0.4184580679787582,0.46052739216296074
114,0.4426573426573427,0.6286713286713287,0.09613639786073691,0.18472188023767816,0.1299599204185897,0.14869879569173422,0.42855912849169026,0.4605273921629606
115,0.5097902097902098,0.6286713286713287,0.11029462855514374,0.18472188023767816,0.1348076124557774,0.14869879569173422,0.43640193052381465,0.4605273921629607
116,0.5706293706293706,0.6286713286713287,0.12545893081034204,0.18472188023767816,0.12492520376159907,0.1486987956917343,0.41012331960150045,0.46052739216296074
117,0.49580419580419577,0.6286713286713287,0.1050961362214412,0.18472188023767816,0.13017330000806807,0.14869879569173422,0.4289060585965315,0.4605273921629607
118,0.47692307692307695,0.6286713286713287,0.10175742225510556,0.18472188023767816,0.13002453621601354,0.14869879569173422,0.42627829173955506,0.4605273921629607
119,0.47412587412587415,0.6286713286713287,0.09941867595695371,0.18472188023767816,0.14404350839952346,0.14869879569173422,0.45723056607703577,0.4605273921629607
120,0.6314685314685315,0.6286713286713287,0.14164969080661688,0.18472188023767816,0.11727472134863175,0.14869879569173422,0.39432737499568205,0.4605273921629607
