rep,roc_auc,pr_auc,brier,log_loss
213,0.49510489510489514,0.10533892931140984,0.13936148126209055,0.45103976902656867
214,0.47762237762237764,0.09932772006708723,0.14274307945372142,0.4583439140503023
215,0.4727272727272727,0.10148902201664944,0.14313189382858127,0.4597290732129323
216,0.49720279720279725,0.10579834019633477,0.14116730377360306,0.45521826029744256
217,0.4755244755244755,0.09890229455479532,0.14262108898141052,0.4575861893871728
218,0.4636363636363636,0.0970935502641547,0.15118000102286988,0.4755295574101558
219,0.4727272727272727,0.09870001559283825,0.13684993710793833,0.4462226488486957
220,0.486013986013986,0.1009737192130313,0.1428105500121538,0.458667925427907
221,0.5132867132867133,0.10852784295132586,0.13002555357236767,0.4322601157643466
222,0.45384615384615384,0.09869252260134063,0.14242627445052547,0.45832211092836145
223,0.49230769230769234,0.10213233405920717,0.13157880869801614,0.43481326492800654
224,0.5013986013986014,0.10704459064148172,0.13167189976094795,0.43471930979224904
225,0.4552447552447553,0.09584228539546313,0.1613731038513097,0.4968167288783544
226,0.4818181818181818,0.10304517220559199,0.14092801861331114,0.4554366555263683
227,0.5,0.10765848802393838,0.13506744368599571,0.44248801252518577
228,0.4755244755244755,0.10187942512066114,0.13790777757686778,0.44886239308789283
229,0.48531468531468536,0.10351253053032969,0.13994099814504565,0.45310339595309035
230,0.47762237762237764,0.10123240008833112,0.142865612042606,0.4589690843450299
231,0.5020979020979022,0.10602826083037413,0.14036440525913377,0.45408390943208077
232,0.5111888111888112,0.10791492919558791,0.13271484593479183,0.4367276275115982
233,0.4993006993006993,0.10431553229740279,0.13706816653625675,0.44599846672337395
234,0.4769230769230769,0.10234595676200584,0.13604645939922821,0.44486889653634937
235,0.44965034965034967,0.09491414525643507,0.16073985525262108,0.49531506976686085
236,0.45594405594405596,0.09596467257926913,0.14472476916506338,0.4634131669342069
237,0.48531468531468536,0.10065045669701382,0.14820588890550895,0.47045194635749943
238,0.4524475524475524,0.09535725644716565,0.15514912125626157,0.4851774950189752
239,0.4727272727272728,0.09842169147065316,0.1399652803548427,0.4519895777791421
240,0.47132867132867134,0.09876739992856495,0.14792081343438837,0.4695872150423576
241,0.4713286713286714,0.09977517514632817,0.14092679022334104,0.45444055290830376
242,0.4888111888111888,0.10422520353599926,0.13781747541104983,0.44765708526697634
243,0.47482517482517483,0.0987997965760063,0.13746569340667208,0.4485294468573379
